Building Name,Cleaned Name,Latitude,Longitude,Full Address
3366 North Torrey Pines Court,3366 NORTH TORREY PINES COURT,32.8937534,-117.2417885,"3366 N Torrey Pines Ct, La Jolla, CA 92037, USA"
3367 Lebon Drive,3367 LEBON DRIVE,32.865678,-117.2242693,"3367 Lebon Dr, San Diego, CA 92122, USA"
3371 Lebon Drive,3371 LEBON DRIVE,32.8657956,-117.2241364,"3371 Lebon Dr, San Diego, CA 92122, USA"
3373 Lebon Drive,3373 LEBON DRIVE,32.8657893,-117.2238471,"3373 Lebon Dr, San Diego, CA 92122, USA"
3377 North Torrey Pines Court,3377 NORTH TORREY PINES COURT,32.8921463,-117.2416595,"3377 N Torrey Pines Ct, La Jolla, CA 92037, USA"
3381 Lebon Drive,3381 LEBON DRIVE,32.8655746,-117.223961,"3381 Lebon Dr, San Diego, CA 92122, USA"
3383 Lebon Drive,3383 LEBON DRIVE,32.8657613,-117.2235713,"3383 Lebon Dr, San Diego, CA 92122, USA"
3389 Lebon Drive,3389 LEBON DRIVE,32.8652939,-117.2237879,"3389 Lebon Dr, San Diego, CA 92122, USA"
3391 Lebon Drive,3391 LEBON DRIVE,32.8652146,-117.2235714,"3391 Lebon Dr, San Diego, CA 92122, USA"
3393 Lebon Drive,3393 LEBON DRIVE,32.8649728,-117.2236782,"3393 Lebon Dr, San Diego, CA 92122, USA"
3395 Lebon Drive,3395 LEBON DRIVE,32.8649783,-117.2239665,"3395 Lebon Dr, San Diego, CA 92122, USA"
3500 Fifth Avenue,3500 FIFTH AVENUE,32.7417365,-117.1607117,"3500 Fifth Ave, San Diego, CA 92103, USA"
3510 Dunhill Street,3510 DUNHILL STREET,32.9032762,-117.2307843,"3510 Dunhill St, San Diego, CA 92121, USA"
3525 John Hopkins Court,3525 JOHN HOPKINS COURT,32.8915593,-117.2383837,"3525 John Hopkins Ct, San Diego, CA 92121, USA"
360 Dickinson,360 DICKINSON,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
3636 Gateway Center Avenue,3636 GATEWAY CENTER AVENUE,32.7138436,-117.1133087,"3636 Gateway Center Ave, San Diego, CA 92102, USA"
3636 Nobel Drive,3636 NOBEL DRIVE,32.8692687,-117.2276673,"3636 Nobel Dr, San Diego, CA 92122, USA"
3665 Kearny Villa Road,3665 KEARNY VILLA ROAD,32.8086842,-117.1499129,"Rady Children's Health Services, 3665 Kearny Villa Rd, San Diego, CA 92123, USA"
3750 Convoy Street,3750 CONVOY STREET,32.8121481,-117.1534713,"3750 Convoy St, San Diego, CA 92111, USA"
3830 Park Blvd,3830 PARK BLVD,32.7482432,-117.1465107,"3830 Park Blvd, San Diego, CA 92103, USA"
